id,original_slang,ground_truth,baseline_output,finetuned_output,advanced_output,debate_output,dpo_output,dpo_advanced_output
105,you ordered your salad like a shrink,you ordered your salad like a psychiatrist,You ordered your salad in a manner that suggests you are a psychiatrist.,you ordered your salad like a shrink,you ordered your salad like a psychiatrist,You ordered your salad like a psychiatrist.,You ordered your salad like a psychiatrist.,You ordered your salad like a psychiatrist.
106,take what you want kid,take what you want child,"Take what you desire, child.",take what you want child,take what you want child,You may take what you wish.,"Take what you want, child.","Take what you want, child."
107,i ve got the munchies badly,i ve got the hungry badly,I am experiencing intense hunger.,i ve got the munchies badly,i ve got the munchies badly,I am experiencing an intense craving for snacks.,I have got the munchies very badly.,I have got the hunger very badly.
108,how can you fucking live like this,how can you bad live like this,How can you possibly live like this?,how can you bad live like this,how can you bad live like this,How can you possibly live in such conditions?,How can you fucking live like this,How can you live like this?
109,at the start the only links we had was that they were all slags,at the start the only links we had was that they were all promiscuous,"Initially, the only connections we had were that they were all promiscuous individuals.",at the start the only links we had was that they were all prostitutes,at the start the only links we had was that they were all promiscuous,"Initially, the only connection we had was that they were all considered promiscuous.","At the start, the only links we had were that they were all prostitutes.","at the start, the only links we had were that they were all promiscuous."
110,come inside and close the blood claat door man,come inside and close the napkin door man,Come inside and close the door.,come inside and close the blood claat door man,come inside and close the napkin door man,Please come inside and close the door.,"Come inside and close the blood claat door, man.","come inside and close the napkin door, man."
111,and now then let s see what the old clot has got,and now then let s see what the old moron has got,Now let us examine what the old fool has acquired.,and now then let s see what the old clot has got,and now then let s see what the old fool has got,"And now, let us see what the old fool has.","And now then, let's see what the old fool has got.","And now, let's see what the old fool has got."
112,it s the worst gig we ve ever played since sidcup crematorium,it s the worst concert we ve ever played since sidcup crematorium,It is the worst performance we have ever played since the Sidcup Crematorium.,it s the worst gig we ve ever played since sidcup crematorium,it s the worst gig we ve ever played since sidcup crematorium,It is the worst concert we have ever performed since the Sidcup Crematorium.,It s the worst gig we ve ever played since Sidcup Crematorium.,It s the worst gig we ve ever played since Sidcup Crematorium.
113,all them southpaws should be buried at birth,all them lefthander should be buried at birth,All left-handed individuals should be buried at birth.,all them southpaws should be buried at birth,all them southpaws should be buried at birth,All left-handed individuals should be buried at birth.,All left-handed people should be buried at birth.,All left-handed people should be buried at birth.
114,the boss called me and he said don t worry son,the boss called me and he said don t worry guy,The boss called me and said not to worry.,the boss called me and he said don t worry son,the boss called me and he said don t worry guy,"The boss called me and said, 'Do not worry, my friend.'","The boss called me and he said don t worry, son.","The boss called me and he said don t worry, guy."
115,stay the fuck away from here,stay the hell away from here,Please maintain a safe distance from this area.,stay the hell away from here,stay the hell away from here,Please maintain a significant distance from this location.,I don't want you to come near this place.,I don't want you to come near this place.
116,it is not fucking luca,it is not bad luca,It is certainly not Luca.,it is not bad luca,it is not bad luca,"It is not bad, Luca.",It is not fucking Luca.,"It is not bad, Luca."
117,you are just fucking standing there,you are just bad standing there,You are simply standing there without taking any action.,you are just bad standing there,you are just bad standing there,You are simply standing there doing nothing.,You are just standing there.,You are just bad standing there.
118,that these kids and that s all they are they are just babies,that these children and that s all they are they are just babies,The individuals involved are very young and essentially still children.,that these children and that s all they are they are just babies,that these kids and that s all they are they are just babies,These are merely children—they are just babies.,"That these children and that s all they are, they are just babies.","That these children and that s all they are, they are just babies."
119,am i wrong about her tits,am i wrong about her breasts,Am I mistaken about her breast size?,am i wrong about her breasts,am i wrong about her breasts,Is my assessment of her breast size inaccurate?,Am I wrong about her breasts?,Am I wrong about her breasts?
120,i gotta be really careful though i don t,i got to be really careful though i don t,"I must be very careful, though I do not.",i got to be really careful though i don t,i got to be really careful though i don t,"I must be very careful, though I do not.","I have to be really careful, though.","I have to be really careful, though."
121,do you give a shit about a t shirt,do you give a stuff about a t shirt,Do you care about a t-shirt?,do you give a stuff about a t shirt,do you care about a t shirt,Do you care at all about a t-shirt?,Do you care about a t shirt?,Do you care about a t shirt?
122,come on you stubborn mule,come on you unyielding,Please reconsider your position.,come on you stubborn mule,come on you stubborn mule,Please reconsider your inflexible position.,"Come on, you stubborn mule.","Come on, you stubborn mule."
123,i mean this one s totally knocked out,i mean this one s totally unconscious,This one is completely exhausted.,i mean this one s totally knocked out,i mean this one s totally knocked out,"I mean, this one is completely unconscious.",I mean this one is totally knocked out,I mean this one is completely unconscious
124,he didn t take shit from nobody,he didn t take stuff from nobody,He did not tolerate disrespect from anyone.,he didn t take stuff from nobody,he didn t take stuff from nobody,He tolerated no disrespect from anyone.,He didn t take anything from anyone.,He didn t take anything from anyone.
125,when she was little they said it was gonna go away but it never did,when she was little they said it was going to go away but it never did,"When she was young, they said it would go away, but it never did.",when she was little they said it was going to go away but it never did,when she was little they said it was going to go away but it never did,"When she was little, they said it was going to go away, but it never did.","When she was little, they said it would go away but it never did.","When she was little, they said it would go away but it never did."
126,you re holding out for something better,you re withholding for something better,You are withholding information in anticipation of a more favorable outcome.,you re holding out for something better,you re holding out for something better,You are withholding your commitment in anticipation of a superior alternative.,You are holding out for something better.,You are holding out for something better.
127,look bretton is not an enemy a kid like you wants to have for life,look bretton is not an enemy a child like you wants to have for life,Bretton is not an enemy a person of your age would want to have for life.,look bretton is not an enemy a child like you wants to have for life,look bretton is not an enemy a child like you wants to have for life,"Look, Bretton is not an enemy someone like you would want to have for life.","Look, Bretton is not an enemy. A child like you wants to have for life.","Look, Bretton is not an enemy. A child like you wants to have for life."
128,and she agreed to stake me when i got out,and she agreed to money me when i got out,She agreed to provide financial support when I was released.,and she agreed to stake me when i got out,and she agreed to give me money when i got out,and she agreed to provide me with financial support upon my release,And she agreed to stake me when I got out.,And she agreed to provide me with money when I got out.
129,so last night was good fun weren t it,so last night was good fun wasn t it,"Last night was enjoyable, was it not?",so last night was good fun weren t it,so last night was good fun wasn t it,"Last night was enjoyable, wasn't it?","So last night was good fun, wasn t it.","So last night was good fun, wasn t it."
130,oh hang on i forgot about summat,oh hang on i forgot about something,"Wait, I forgot about something.",oh hang on i forgot about summat,oh hang on i forgot about something,"Wait a moment, I forgot about something.","Oh, wait. I forgot something.","Oh, wait. I forgot something."
131,look at t moosh on him,look at mustache on him,Observe the musculature of his physique.,look at t moosh on him,look at mustache on him,Observe the mustache he is wearing.,Look at the moosh on him.,Look at the mustache on him.
132,you just keep it together lad,you just keep it together boy,"You should maintain your composure, young man.",you just keep it together man,you just keep it together boy,"You should maintain your composure, young man.","You just keep it together, young man.","You just keep it together, young man."
133,lucky the ripper wrote that letter eh,lucky the ripper wrote that letter yes,"Lucky the Ripper wrote that letter, did he not?",lucky the ripper wrote that letter yes,lucky the ripper wrote that letter yes,"Lucky the Ripper wrote that letter, did he not?","Lucky the thief wrote that letter, didn t he.","Lucky the thief wrote that letter, didn t he."
134,they re not finished with me mate,they re not finished with me friend,"They are not finished with me, sir.",they re not finished with me friend,they re not finished with me friend,"They are not yet done with me, my friend.","They re not finished with me, are they?","They re not finished with me, are they?"
135,i m spasticus spasticus spasticus autisticus,i m retard retard retard autisticus,I am Spasticus Autisticus.,i m spasticus spasticus spasticus autisticus,i m spasticus spasticus spasticus autisticus,I am repeatedly and excessively emphasizing a state of being neurodivergent or having a developmental difference.,"I am spasticus, spasticus, spasticus, autisticus.","I am spasticus, spasticus, spasticus, autisticus."
136,you fight like a bloke,you fight like a man,You fight like a man.,you fight like a man,you fight like a man,You fight like a man.,You fight like a man.,You fight like a man.
137,was passing her a mandy,was passing her a mandrax,I was handing her a tablet of MDMA.,was passing her a mandy,was passing her a mandrax,was handing her a Mandrax pill,was passing her a mandy,was passing her a mandrax
138,i thought you were fucking great,i thought you were bad great,I thought you were exceptionally impressive.,i thought you were bad great,i thought you were bad great,I thought you were exceptionally impressive.,I thought you were very impressive.,I thought you were very impressive.
139,now all we need is a band with a drummer i can t sack,now all we need is a band with a drummer i can t fire,Now all we need is a band with a drummer I cannot dismiss.,now all we need is a band with a drummer i can t sack,now all we need is a band with a drummer i can t sack,Now all we need is a band with a drummer I cannot dismiss.,Now all we need is a band with a drummer i can t sack,Now all we need is a band with a drummer i can t sack
140,is not funny and not fucking clever,is not funny and not bad clever,It is neither amusing nor clever.,is not funny and not bad clever,is not funny and not bad clever,is neither amusing nor in any way clever,Is not funny and not clever.,Is not funny and not clever.
141,he who snorts colombian thinks colombian,he who inhales colombian thinks colombian,The individual who consumes cocaine believes it to be of high quality.,he who snorts colombian thinks colombian,he who inhales colombian thinks colombian,One's environment and actions shape one's perspective.,He who snorts Colombian thinks Colombian.,He who inhales Colombian thinks Colombian.
142,i just need you to bridge me,i just need you to assist me,I require you to provide me with a temporary loan.,i just need you to bridge me,i just need you to assist me,I simply require your assistance.,I just need you to connect me.,I just need you to connect me.
143,that billy clark is a bum,that billy clark is a bottom,Billy Clark is an unreliable person.,that billy clark is a bum,that billy clark is a bottom,That Billy Clark is a low-status individual.,That Billy Clark is a bum.,That Billy Clark is a bottom.
144,they ve been crying for you like a bunch of whimpering pussies,they ve been crying for you like a bunch of whimpering cowards,They have been crying for you in a manner that is excessively emotional and weak.,they ve been crying for you like a bunch of whimpering pussies,they ve been crying for you like a bunch of whimpering cowards,They have been crying for you in a manner characteristic of whimpering cowards.,They ve been crying for you like a bunch of whimpering cowards.,They ve been crying for you like a bunch of whimpering cowards.
145,so you re the kid who s sent me those articles from the school newspaper,so you re the child who s sent me those articles from the school newspaper,You are the student who sent me those articles from the school newspaper.,so you re the child who s sent me those articles from the school newspaper,so you re the child who s sent me those articles from the school newspaper,So you are the student who sent me those articles from the school newspaper.,So you re the child who s sent me those articles from the school newspaper.,So you re the child who s sent me those articles from the school newspaper.
146,i ll have patience with you since you re not yet worldly,i ll have patience with you since you re not yet experienced,I will have patience with you since you are not yet experienced in the ways of the world.,i ll have patience with you since you re not yet worldly,i ll have patience with you since you re not yet experienced,I will have patience with you since you are not yet experienced.,I will have patience with you since you are not yet worldly.,I will have patience with you since you are not yet worldly.
147,money s a bitch that never sleeps,money s a woman that never sleeps,Money is an unrelenting and demanding pursuit.,money s a bitch that never sleeps,money s a woman that never sleeps,Money is an unrelenting force that operates ceaselessly.,Money is a difficult mistress that never sleeps.,money is a demanding companion that never sleeps.
148,look i don t know what i said to you in there that got you so pissed off but i m sorry charlie all right,look i don t know what i said to you in there that got you so angry off but i m sorry charlie all right,"I do not know what I said to you earlier that upset you so much, but I sincerely apologize, Charlie.",look i don t know what i said to you in there that got you so angry but i m sorry charlie all right,look i don t know what i said to you in there that got you so angry but i m sorry charlie all right,"I do not know what I said to you earlier that caused you such distress, but I apologize, Charlie.","Look, I don t know what I said to you in there that got you so angry but I m sorry, Charlie. All right.","Look, I don t know what I said to you in there that got you so angry but I m sorry, Charlie. All right."
149,they re on the hook jake,they re responsible jake,"They are responsible for the situation, Jake.",they re on the hook jake,they re on the hook jake,"They are responsible, Jake.","They are on the hook, Jake.","They are on the hook, Jake."
150,right this is where all the fucking pakis go to work in the chicken factory,right this is where all the fucking asian go to work in the chicken factory,This is the area where many individuals of Pakistani descent are employed at the poultry processing plant.,right this is where all the bad pakis go to work in the chicken factory,right this is where all the pakis go to work in the chicken factory,This is the location where many individuals of South Asian descent are employed at the poultry processing plant.,Right this is where all the fucking pakis go to work in the chicken factory,right this is where all the fucking Asians go to work in the chicken factory
151,i was fucking horrible weren t i,i was bad horrible weren t i,"I was truly awful, wasn't I?",i was bad weren t i,i was bad weren t i,"I was truly terrible, wasn't I?","I was absolutely dreadful, weren t I?","I was absolutely dreadful, weren t I?"
152,look how pissed he is,look how angry he is,Observe how angry he is.,look how drunk he is,look how angry he is,Look how angry he is.,Look how angry he is.,Look how angry he is.
153,oh i said hear me now yeah yeah,oh i said hear me now yes yes,I said listen to me now.,oh i said hear me now yes yes,oh i said hear me now yes yes,"I said, listen to me now, yes.","Oh, I said hear me now, yes.","Oh, I said hear me now, yes."
154,listen i m gonna leave him here with you,listen i m going to leave him here with you,I am going to leave him here with you.,listen i m going to leave him here with you,listen i m going to leave him here with you,"Listen, I am going to leave him here with you.","Listen, I m going to leave him here with you.","Listen, I m going to leave him here with you."
155,well i can t fucking wait,well i can t bad wait,I am very eager for it.,well i can t bad wait,well i can t bad wait,"Well, I cannot wait.","Well, I can t fucking wait","Well, I can t bad wait"
156,i want them ones mum,i want those mum,"I would like those items, mother.",i want them ones mum,i want those mum,I want that person's mother.,I want them ones mum.,"I want those, mum."
157,i m gonna trust you shaun,i m going to trust you shaun,"I am going to trust you, Shaun.",i m going to trust you shaun,i m going to trust you shaun,"I am going to trust you, Shaun.","I m going to trust you, Shaun.","I m going to trust you, Shaun."
158,it all goes belly up,it all goes wrong,The entire endeavor fails.,it all goes belly up,it all goes belly up,The entire endeavor fails completely.,It all goes belly up,It all goes belly up
159,it s part of eric s stash,it s part of eric s possessions,It is part of Eric's personal supply.,it s part of eric s stash,it s part of eric s stash,It is part of Eric's personal collection of items.,It s part of Eric's stash,It s part of Eric's possessions.
160,these investigations they make you popular with the west yorkshire lads did they,these investigations they make you popular with the west yorkshire boys did they,These investigations made you popular with the young men from West Yorkshire.,these investigations they make you popular with the west yorkshire lads did they,these investigations they make you popular with the west yorkshire lads did they,Did these investigations make you popular with the young men from West Yorkshire?,These investigations they make you popular with the West Yorkshire lads did they.,These investigations they make you popular with the West Yorkshire lads did they.
161,oh well you know we ve gotta be here cause we ve got to work haven t we,oh well you know we ve got to be here cause we ve got to work haven t we,We must be here because we have to work.,oh well you know we ve got to be here because we ve got to work haven t we,oh well you know we ve got to be here because we ve got to work haven t we,We are required to be here because we must work.,"Oh well, you know we have to be here because we have to work haven t we.","Oh well, you know we have to be here because we have to work haven t we."
162,their motto is if it ain t stiff it ain t worth a fuck,their motto is if it isn t stiff it isn t worth a fuck,"Their motto is that if it is not rigid, it is worthless.",their motto is if it isn t stiff it isn t worth a hell,their motto is if it isn t stiff it isn t worth a hell,Their motto is that only what is firm or rigid has any value.,"Their motto is if it isn t stiff, it isn t worth a damn.","Their motto is if it isn t stiff, it isn t worth a damn."
163,oh i think you ll find it fucking does,oh i think you ll find it bad does,I believe you will find that it indeed does.,oh i think you ll find it bad does,oh i think you ll find it bad does,"Oh, I think you'll find it certainly does.","Oh, I think you ll find it very much does.","Oh, I think you ll find it very rude."
164,not as funny as this mate,not as funny as this friend,This is not as humorous as this individual.,not as funny as this friend,not as funny as this friend,not as humorous as this companion,Not as funny as this friend.,Not as funny as this friend.
165,you re not gonna shout at me again are you,you re not going to shout at me again are you,"You are not going to shout at me again, are you?",you re not going to shout at me again are you,you re not going to shout at me again are you,"You are not going to shout at me again, are you?","You re not going to shout at me again, are you?","You re not going to shout at me again, are you?"
166,lads relax there s an hour to go till kick off yet,boys relax there s an hour to go till kick off yet,"Everyone should remain calm, as there is still an hour until the match begins.",lads relax there s an hour to go till kick off yet,lads relax there s an hour to go till kick off yet,"Gentlemen, please remain calm; there is still an hour until the match begins.","Lads, relax. There s an hour to go till kick off yet.","Lads relax, there s an hour to go till kick off yet."
167,it got nicked in the end the car,it got stolen in the end the car,The car was stolen in the end.,it got nicked in the end the car,it got nicked in the end the car,The car was ultimately stolen.,"It got stolen in the end, the car.","It got stolen in the end, the car."
168,do you remember kiddo after you had been left out,do you remember child after you had been left out,"Do you recall, child, after you had been excluded?",do you remember kiddo after you had been left out,do you remember child after you had been left out,"Do you remember, child, after you were excluded?","Do you remember, child? after you had been left out.","Do you remember, child?"
169,okay folks nothing to see here,okay people nothing to see here,There is nothing of interest to observe here.,okay people nothing to see here,okay people nothing to see here,"Please, everyone, there is nothing of interest here; please move along.","All right, people. Nothing to see here.","All right, people. Nothing to see here."
170,you are going to have to give me a wee bit more to work on,you are going to have to give me a small bit more to work on,You will need to provide me with a small amount of additional information.,you are going to have to give me a wee bit more to work on,you are going to have to give me a wee bit more to work on,You will need to provide me with a small amount of additional information to proceed.,You are going to have to give me a little bit more to work on.,You are going to have to give me a little bit more to work on.
171,that s known as trouble with the curve,that s known as trouble with the ignored,That is known as a problem with the curve.,that s known as trouble with the curve,that s known as trouble with the curve,That is known as trouble with the ignored.,That s known as trouble with the curve,That s known as trouble with the curve
172,i was gonna introduce you,i was going to introduce you,I was going to introduce you.,i was going to introduce you,i was going to introduce you,I was going to introduce you.,I was going to introduce you.,I was going to introduce you.
173,so you re saying you don t have an out,so you re saying you don t have an depart,You are saying that you do not have a solution.,so you re saying you don t have an out,so you re saying you don t have a departure,So you are asserting that you lack an alternative course of action or means of escape.,So you re saying that you don t have an out.,So you re saying that you don t have a way out.
174,this is just an insane situation,this is just an awful situation,This is an extremely unreasonable situation.,this is just an insane situation,this is just an insane situation,This is an extremely distressing situation.,This is just an insane situation,This is just an insane situation
175,don t just call people faggot,don t just call people gay,Do not use derogatory slurs to insult people.,don t just call people faggot,don t just call people faggot,Do not casually use derogatory slurs targeting individuals based on their sexual orientation.,Don t just call people derogatory names.,Don t just call people faggot.
176,i didn t think you could pull it off,i didn t think you could finish,I did not believe you would be able to accomplish it.,i didn t think you could pull it off,i didn t think you could finish it off,I did not believe you would be able to accomplish it.,I didn t think you could pull it off,I didn t think you could finish it.
177,i never made any money shorting hydra,i never made any money robbing hydra,I never earned any profit from short selling Hydra stock.,i never made any money shorting hydra,i never made any money shorting hydra,I never profited from exploiting or undermining Hydra.,I never made any money shorting Hydra.,I never made any money robbing Hydra.
178,you want to kill a guy touches my arm,you want to agree a guy touches my arm,You wish to harm someone who touches my arm.,you want to kill a guy touches my arm,you want to kill a guy touches my arm,You want to agree that a guy touches my arm.,You want to kill a guy who touches my arm.,You want to agree that a guy touches my arm.
179,talk about things i don t wanna talk about,talk about things i don t want to talk about,Discuss topics I do not wish to discuss.,talk about things i don t want to talk about,talk about things i don t want to talk about,Discuss topics I prefer to avoid.,Talk about things I don t want to talk about.,Talk about things I don t want to talk about.
180,you want to get high,you want to get intoxicated,Do you wish to become intoxicated?,you want to get high,you want to get high,You desire to become intoxicated.,You want to get high,You want to get high
181,and i was busy running out the door and i fucking snapped at her,and i was busy running out the door and i bad snapped at her,I was in a hurry to leave and I spoke harshly to her.,and i was busy running out the door and i bad snapped at her,and i was busy running out the door and i bad snapped at her,and i was busy running out the door and i sharply snapped at her,And I was busy running out the door and I very much snapped at her.,And I was busy running out the door and I sharply snapped at her
182,the sheriff is a nig,the sheriff is a black person,The sheriff is a despicable person.,the sheriff is a nig,the sheriff is a nig,The sheriff is a black person.,The sheriff is a Negro.,the sheriff is a black person.
183,hudson he s really painting the corners tonight,hudson he s really flirting tonight,Hudson is pitching with exceptional accuracy tonight.,hudson he s really painting the corners tonight,hudson he s really flirting the corners tonight,Hudson is being particularly charming and flirtatious this evening.,Hudson is really painting the corners tonight.,Hudson is really painting the corners tonight
184,i thought it was cool,i thought it was stylish,I thought it was impressive.,i thought it was cool,i thought it was stylish,I thought it was stylish.,I thought it was cool.,I thought it was stylish.
185,so we can stick our fucking flag in the ground and say,so we can stick our bad flag in the ground and say,We can firmly establish our position and declare.,so we can stick our bad flag in the ground and say,so we can stick our bad flag in the ground and say,so we can firmly plant our flag and declare,So we can stick our flag in the ground and say.,So we can stick our bad flag in the ground and say.
186,look at the size of him mate,look at the size of him friend,Observe his considerable stature.,look at the size of him friend,look at the size of him friend,"Observe his considerable stature, my friend.","Look at the size of him, friend.","Look at the size of him, friend."
187,i ve got to tell you mate you re a good geezer man,i ve got to tell you friend you re a good geezer man,"I must inform you, my friend, that you are a genuinely good person.",i ve got to tell you friend you re a good geezer man,i ve got to tell you friend you re a good person man,"I must tell you, my friend, you are a genuinely good person.","I have to tell you, my friend. You are a good person.","I have to tell you, my friend. You are a good man."
188,get the fuck up gadge,get the hell up gadge,"Get up immediately, sir.",get the hell up man,get the hell up friend,"Please rise immediately, friend.","Get the hell up, man.","Get the hell up, mate."
189,when there s single fucking parents out there who can t get a fucking flat and they re being given to these,when there s single bad parents out there who can t get a bad flat and they re being given to these,When there are single parents who cannot obtain an apartment and they are being given to these individuals.,when there s single bad parents out there who can t get a bad flat and they re being given to these,when there s single bad parents out there who can t get a bad flat and they re being given to these,"It is unjust that there are single parents who cannot secure housing, yet it is being provided to these individuals who already hold two jobs.","When there s single fucking parents out there who can t get a flat and they re being given to these people, it is unfair.","when there s single parents out there who can t get a flat and they re being given to these people, it is unfair."
190,yeah i can t knock em at all,yes i can t knock em at all,I cannot criticize them at all.,yeah i can t knock em at all,yeah i can t knock em at all,I cannot criticize them at all.,"Yes, I can t knock them at all.","Yes, I can t knock them at all."
191,been ferreting about for ages,been searching about for ages,I have been searching for a long time.,been ferreting about for ages,been searching about for ages,I have been searching extensively for a long time.,been searching for ages,been searching for ages
192,not a word dickie eh,not a word dickie yes,Do not speak a word of this to anyone.,not a word dickie yes,not a word dickie yes,"Do not say a single word, understood?","Not a word, is it?","Not a word, is it?"
193,we re gonna keep it low key,we re going to keep it low key,We are going to keep it discreet.,we re going to keep it low key,we re going to keep it low key,We intend to maintain discretion.,We re going to keep it low key,We re going to keep it low key
194,i m not having this shit telling me what i can and can t say,i m not having this stuff telling me what i can and can t say,I am not tolerating this nonsense telling me what I can and cannot say.,i m not having this stuff telling me what i can and can t say,i m not having this stuff telling me what i can and can t say,I refuse to accept this imposition dictating what I am permitted or not permitted to express.,I am not having this stuff telling me what I can and can t say.,I am not having this stuff telling me what I can and can t say.
195,the last chicken in the shop the juicy golden goosey,the last chicken in the shop the juicy golden goose,The final item available for purchase was the most desirable and valuable option.,the last chicken in the shop the juicy golden goosey,the last chicken in the shop the juicy golden goosey,"The final, highly valuable, and desirable item available.",The last chicken in the shop.,the last chicken in the shop the juicy golden goose.
196,nah it s all shag pile carpets and extraordinary acoustics,nah it s all sexual partner pile carpets and extraordinary acoustics,"No, it is all shag pile carpets and extraordinary acoustics.",nah it s all shag pile carpets and extraordinary acoustics,nah it s all shag pile carpets and extraordinary acoustics,"No, it is entirely furnished with shag pile carpets and features extraordinary acoustics.","No, it s all shag pile carpets and extraordinary acoustics","No, it s all shag pile carpets and extraordinary acoustics"
197,i m spasticus spasticus spasticus autisticus 54 appliances in leather and elastic,i m retard retard retard autisticus 54 appliances in leather and elastic,"I am Spasticus, Spasticus, Spasticus, Autisticus, with fifty-four appliances made of leather and elastic.",i m spasticus spasticus spasticus autisticus 54 appliances in leather and elastic,i m spasticus spasticus spasticus autisticus 54 appliances in leather and elastic,I am repeatedly and excessively referencing conditions like spasticity and autism.,"I am spasticus, spasticus, spasticus, autisticus 54 appliances in leather and elastic.","I am spasticus, spasticus, spasticus autisticus 54 appliances in leather and elastic."
198,i wasn t probably at that stage of my career where i felt comfortable to sort of you know don t worry about it it ll be all right,i wasn t probably at that stage of my career where i felt comfortable to fix of you know don t worry about it it ll be all right,"I was not at a stage in my career where I felt sufficiently confident to disregard the matter, as I believed it would resolve itself.",i wasn t probably at that stage of my career where i felt comfortable to sort of you know don t worry about it it ll be all right,i wasn t probably at that stage of my career where i felt comfortable to sort of you know don t worry about it it ll be all right,"I was likely not yet at a stage in my career where I felt sufficiently established to adopt a more relaxed, unconcerned attitude.",I wasn t probably at that stage of my career where I felt comfortable to sort of you know don t worry about it it ll be all right,"I wasn t probably at that stage of my career where I felt comfortable to say, you know, ""don't worry about it, it'll be all right."""
199,sat in my seat yeah,sat in my seat yes,I sat in my seat.,sat in my seat yes,sat in my seat yes,I took my seat and confirmed my readiness.,"sat in my seat, yes.","sat in my seat, yes."
200,and he s lads lads don t scuff the leather whatever you do,and he s boys boys don t scuff the leather whatever you do,"And he said, ""Gentlemen, do not damage the leather under any circumstances.""",and he s lads lads don t scuff the leather whatever you do,and he s lads lads don t scuff the leather whatever you do,"And he is saying, 'Boys, boys, do not scuff the leather, whatever you do.'","And he is lads, don t scuff the leather whatever you do","and he s boys, don t scuff the leather whatever you do"
