SENTENCE	FULL_CONTEXT	MOVIE_ID	SENT_ID	REGION	YEAR
I'm not the person I was before.	We need you. <i> I'm not the person I was before. </i> Before Adam.	5036434	512	US	2012
It's not even a real Christmas.	Literally. <i> It's not even a real Christmas. </i> [ Men Arguing]	6441036	1457	US	2013
Before he was many days old, he was not only looking like a mouse, but acting like one too.	Is that a joke? <i> Before he was many days old, he was not only looking like a mouse, but acting like one too. </i> He was wearing a gray hat and carrying a small case...[ knock on door, squeaks open] Just me!	5036434	238	US	2012
Like that thing you suggested about developing the land.	I mean you are smart and worldly. <i> Like that thing you suggested about developing the land. </i> I mean...	6441036	1387	US	2013
But what about your business trip?	Daddy! <i> But what about your business trip? </i> I told them they could wait.	6441036	11	US	2013
[ Jane continues to cry][ bathroom door shuts][ soldering iron sparks][ T.V. plays in the distance]	If you think my life is just so easy, you're wrong. <i> [ Jane continues to cry][ bathroom door shuts][ soldering iron sparks][ T.V. plays in the distance] </i> Hey, it's a school night.	5036434	1039	US	2012
Fa la la la la la la la la*	* Tis the season to be jolly. <i> Fa la la la la la la la la* </i> Penny who?	6441036	33	US	2013
- Are you always so friendly?	You mean elbow, don't you? <i> - Are you always so friendly? </i> - When I feel like it.	5036434	157	US	2012
Not a creature was-[ Clearing Throat][ Cough]	[ Clears Throat] <i> Not a creature was-[ Clearing Throat][ Cough] </i> Stirring.	6441036	1187	US	2013
We couldn't be more pleased that you and Jane Albertson are friends.	[ Jane laughing hysterically] <i> We couldn't be more pleased that you and Jane Albertson are friends. </i> You know, her mother is in my Thursday book group.	5036434	617	US	2012
Now, Jason is eager to go to school, so tomorrow I'm taking him over to Aspen.	We feel responsible for you. <i> Now, Jason is eager to go to school, so tomorrow I'm taking him over to Aspen. </i> It's a very good elementary school.	5036434	246	US	2012
Officer there is absolutely no problem ok?	I should have known. <i> Officer there is absolutely no problem ok? </i> We were having a snowball fight.	6441036	270	US	2013
[ more wind and sounds of nature]	Ow! <i> [ more wind and sounds of nature] </i> Daddy?	5036434	134	US	2012
You can certainly develop part of them.	I mean they're beautiful but they're just so big. <i> You can certainly develop part of them. </i> Like a country club.	6441036	923	US	2013
Since when does everyone here know better than you?	Since when? <i> Since when does everyone here know better than you? </i> You're turning into them.	5036434	932	US	2012
That's because in college I took debate and you didn't.	- No. <i> That's because in college I took debate and you didn't. </i> Which means I know something you don't.	6441036	729	US	2013
Haven't improved any since my audition.	I actually...[ Sigh] <i> Haven't improved any since my audition. </i> But I have.	6441036	1792	US	2013
I thought you were in trouble, the way you were calling out.	[ man] Yeah, you. <i> I thought you were in trouble, the way you were calling out. </i> [ Davey] I'm fine.	5036434	144	US	2012
And how many years have you played Santa now?	- Well we should let Mr. Barnes go. <i> And how many years have you played Santa now? </i> Everyone auditions.	6441036	1179	US	2013
253,000 miles and still going strong.	Like this little beauty. <i> 253,000 miles and still going strong. </i> [ slow music]	5036434	120	US	2012
Eric please tell me you remember our life together?	It must have been a heck of a concussion. <i> Eric please tell me you remember our life together? </i> Honey?	6441036	836	US	2013
Not what kind of grades you get.	It's what you learn that counts. <i> Not what kind of grades you get. </i> Where did you learn that?	5036434	1053	US	2012
said she ran off crying.	Teddy Jr. <i> said she ran off crying. </i> Mia locked herself in the den and won't come out.	6441036	1251	US	2013
You care if I walk with you?	It's a matter of nuance. <i> You care if I walk with you? </i> Knock yourself out.	6441036	1675	US	2013
It's like we're in another world.	"Wow, it's really pretty here. <i> It's like we're in another world. </i> Well you can see why Oppenheimer chose Los Alamos as the site for"" Project Y."""	5036434	96	US	2012
- I want to show you something.	- Sure. <i> - I want to show you something. </i> - Ok.	6441036	1077	US	2013
She is learning to control and manipulate to get what she wants.	She is learning- <i> She is learning to control and manipulate to get what she wants. </i> You say that like it's a bad thing.	6441036	1474	US	2013
Glad you were with me, Tiger.	Thanks for bringing me tonight. <i> Glad you were with me, Tiger. </i> - I'm going to miss you.	5036434	894	US	2012
Uh, does anyone have any questions?	Sarah's dad got blown up in a war and now he has a metal brain. <i> Uh, does anyone have any questions? </i> Does Uncle Walter make bombs?	5036434	209	US	2012
Larry, make sure you have plenty of beef, okay?	Girls, why don't you hit the buffet also? <i> Larry, make sure you have plenty of beef, okay? </i> Gotta bulk up for the season.	5791518	1201	US	2014
Laur, the meeting went longer than expected.	MARK: <i> Laur, the meeting went longer than expected. </i> What do you want from me?	5791518	428	US	2014
Who told you I went on a date?	A date? <i> Who told you I went on a date? </i> You should really change your e-mail password, little Miss 072099.	5791518	285	US	2014
Here is where you make more Theopotamuses.	Look at this candy. <i> Here is where you make more Theopotamuses. </i> ( LAUGHING)	5791518	1048	US	2014
All right, I'll give this back to whoever it belongs to.	I keep them in color-coded sleeves... <i> All right, I'll give this back to whoever it belongs to. </i> Lauren Reynolds.	5791518	780	US	2014
Something about a pickle and you cheating on me.	"Or I could say,"" Pass that pickle."" And you could say, I don't know. <i> Something about a pickle and you cheating on me. </i> ( CHUCKLES)"	5791518	2852	US	2014
I'm sure he doesn't mean to.	LAUREN: <i> I'm sure he doesn't mean to. </i> LOU:	5791518	1559	US	2014
She's bound to grow up at some point.	Well, she's 15, you know? <i> She's bound to grow up at some point. </i> I know.	5791518	1814	US	2014
How do you know where I live?	"So wait. <i> How do you know where I live? </i> I Googled you and"" Closet Queens"" came up."	5791518	789	US	2014
If Mfana can do it, I could do it.	No. <i> If Mfana can do it, I could do it. </i> It's totally safe.	5791518	1962	US	2014
He's probably the most romantic guy on the planet.	I gotta give it up to Dick. <i> He's probably the most romantic guy on the planet. </i> Yeah, he's got the moves.	5791518	2594	US	2014
I was looking for Lauren.	Yeah. <i> I was looking for Lauren. </i> You and me both.	5791518	2787	US	2014
Sir, that won't come in until toxicology is finalized.	Did you get the medical examiner's report, Luthor? <i> Sir, that won't come in until toxicology is finalized. </i> Doc Perkins' preliminary finding showed no sign of foul play.	4185464	340	US	2011
Yeah, I-I-I think that was the reason.	I believe he falsified his résumé. <i> Yeah, I-I-I think that was the reason. </i> Was there another reason, Lewis?	4185464	1115	US	2011
Suicide's not good for your image.	State Homicide interested in a death that the local police have described as a probable suicide? <i> Suicide's not good for your image. </i> Addiction is a complex problem.	4185464	701	US	2011
Well, Rose, as you know, we're understaffed here.	Rose. <i> Well, Rose, as you know, we're understaffed here. </i> We lost a very good man when Detective DeAngelo left.	4185464	484	US	2011
I should know about Cindy that I don't.	There's just some things <i> I should know about Cindy that I don't. </i> What happened with college?	4185464	601	US	2011
"Prosecutor:"" We have you at the crime scene."""	"I have some questions. <i> Prosecutor:"" We have you at the crime scene."" </i> Charles Morris:"	4185464	639	US	2011
This what you want to do with your life?	You're a good kid, Lewis. <i> This what you want to do with your life? </i> No, Jesse.	4185464	1135	US	2011
She said she can't afford not to stay.	She understands. <i> She said she can't afford not to stay. </i> You're a good cop, Suit.	4185464	1366	US	2011
No, last time you said	No, you said that. <i> No, last time you said </i> I had a fear of loss.	4185464	263	US	2011
Please do not tell Dr. Parkinson about this.	Pimping. <i> Please do not tell Dr. Parkinson about this. </i> What did Valery do here, Lewis?	4185464	1121	US	2011
How would you know that?	People your age are always certain of what's usual. <i> How would you know that? </i> I used to be your age.	4185464	839	US	2011
He's always been good that way.	I raised them, he paid for it. <i> He's always been good that way. </i> In what way wasn't he good?	4185464	802	US	2011
- Because I think what's happening is	- Yeah, that's fine. <i> - Because I think what's happening is </i> I'm getting really twisted.	6173232	664	US	2014
Are people still getting changed?	Yeah. <i> Are people still getting changed? </i> No.	6173232	625	US	2014
I don't know, maybe around the neck or something.	I think, also because of his body and how he looks, that, like, it all feels very high, like... <i> I don't know, maybe around the neck or something. </i> Just feels like...	6173232	675	US	2014
I mean, this really does feel secure.	She'll have... <i> I mean, this really does feel secure. </i> Little trunks to match?	6173232	573	US	2014
All right, so applause, applause, applause.	Bridge, stand by to pick up the couple with cue ten, half minus, and stand by, Penny, to switch the light walkers, please. <i> All right, so applause, applause, applause. </i> Light cue ten, go.	6173232	537	US	2014
I don't think I've ever seen that,	I think that's cool. <i> I don't think I've ever seen that, </i> - which is good.	6173232	58	US	2014
I felt yesterday, probably, maybe not so much today, but I felt like today there was, or yesterday, there was this disconnect between what's happening here,	I've probably been ignoring it, maybe. <i> I felt yesterday, probably, maybe not so much today, but I felt like today there was, or yesterday, there was this disconnect between what's happening here, </i> - which is very cool.	6173232	818	US	2014
So I want to play a little more with that.	I felt like the backdrop and her costume were identical. <i> So I want to play a little more with that. </i> The tricky part is, if you separate them, it feels like the end of the movement goes down, because it gets darker, you know, by making a richer back...	6173232	762	US	2014
Make the first lifts more efficient, okay?	- It's okay. <i> Make the first lifts more efficient, okay? </i> The first, like, when she's just in sixth or fifth or whatever, okay?	6173232	406	US	2014
So you just count it as an eight.	I'll count slow. <i> So you just count it as an eight. </i> - Yeah.	6173232	97	US	2014
I'd rather be a little further.	- Let's try that. <i> I'd rather be a little further. </i> That was good, though, up until...	6173232	146	US	2014
I liked it better than the first time.	- Thanks. <i> I liked it better than the first time. </i> No, I really did like it.	6173232	909	US	2014
You had this one early this morning in the middle of the thunderstorm.	What better way to use them than to fish for free beer at parties? <i> You had this one early this morning in the middle of the thunderstorm. </i> And in the dream, you were back with your girlfriend Tina.	5922900	310	US	2012
Well, he's the guy who called in the... the whatever happened here...	He's one of the missing, right? <i> Well, he's the guy who called in the... the whatever happened here... </i> about 4: 00 in the morning.	5922900	971	US	2012
So I think I knew then what I was doing this job for, and in the years since... what?	"I woke up with my camera busted on the pavement, blood running down my shirt, a big fat cop standing over me and he says,"" Stay down, nigger."" <i> So I think I knew then what I was doing this job for, and in the years since... what? </i> What, Wong?"	5922900	1411	US	2012
This is a man's job.	No. <i> This is a man's job. </i> - Whoa!	5922900	1493	US	2012
John, you can either come with me to the hospital or I'm gonna call an ambulance, all right?	It moved! <i> John, you can either come with me to the hospital or I'm gonna call an ambulance, all right? </i> But I'm not gonna just stand around	5922900	386	US	2012
Nothing you'd know how to do.	Like a bomb or some kind of... <i> Nothing you'd know how to do. </i> I'm sure of that.	5922900	667	US	2012
It was like I kept slipping out of time.	I couldn't get oriented. <i> It was like I kept slipping out of time. </i> - No, wait.	5922900	415	US	2012
I assume we share a common enemy.	I must confess I do not know from where you came, but I can tell by looking at you that you have not been infected with the great disease. <i> I assume we share a common enemy. </i> If you cannot defeat him, then all hope for mankind will be lost.	5922900	1511	US	2012
- On one bitter winter day you use said ax to behead a man.	just a cheap one from Home Depot. <i> - On one bitter winter day you use said ax to behead a man. </i> Don't worry...	5922900	5	US	2012
Uh, I found your dog.	Hey. <i> Uh, I found your dog. </i> I know.	5922900	1083	US	2012
Just go toward the park.	- Just keep walking. <i> Just go toward the park. </i> And don't freak out.	5922900	846	US	2012
"The guy who hosts the"" Magical Mystery"" show on the Culture Channel?"	"Wait, Dr. Albert Marconi? <i> The guy who hosts the"" Magical Mystery"" show on the Culture Channel? </i> You dumb-ass."	5922900	181	US	2012
And watching them in bed is like watching when the mechanics in the white suits workin' on a Porsche.	And this, this is what gives me contempt for these guys that go around thinking that they're the Lord's own gift to the female species. <i> And watching them in bed is like watching when the mechanics in the white suits workin' on a Porsche. </i> They're all swelled up on their own expertise.	3618044	250	US	2009
""" This is who you're gonna spend the rest of your life with."	""" No, no, this is who you signed up with. <i> "" This is who you're gonna spend the rest of your life with. </i> "" This is who you're gonna be with for the whole rest of your life."""	3618044	626	US	2009
And she's realizing that she's in for the biggest struggle of her spiritual life.	And now here she is, in the car. <i> And she's realizing that she's in for the biggest struggle of her spiritual life. </i> She stares directly into the psychopath's right eye and wills herself to keep her gaze on him directly at all times.	3618044	1025	US	2009
You just stood there with this look.	You had the same face when you left. <i> You just stood there with this look. </i> What?	3618044	577	US	2009
I thought it was easy.	Fine. <i> I thought it was easy. </i> I thought your claims about women were wild and incendiary, and I think you absolutely wrote it for shock value.	3618044	817	US	2009
Top-rated historical hotel in the state.	This was my father's environment. <i> Top-rated historical hotel in the state. </i> The finest lobby, the single finest men's room between the two coasts, surely:	3618044	711	US	2009
But what he really wants to do is give her a special disconnected telephone number and never contact her again.	seemingly very content and close. <i> But what he really wants to do is give her a special disconnected telephone number and never contact her again. </i> And that the reason for this cold and victimizing behavior is that the very connection that he had worked so hard to make her feel terrifies him.	3618044	1049	US	2009
Well, call him and see if he'II, you know, set up something.	Try. <i> Well, call him and see if he'II, you know, set up something. </i> But it needs to be soon, I would think, right?	3618044	587	US	2009
Okay, Jeff, well, have a good night.	You know... <i> Okay, Jeff, well, have a good night. </i> Have a good night.	3618044	140	US	2009
No, I'm not saying that this is reassuring.	But I just... <i> No, I'm not saying that this is reassuring. </i> What I'm saying is that I'm trying to get you to see that sometimes things ebb and flow, okay?	3618044	387	US	2009
I think I saw it in my friend Fiona's hair.	Well, maybe. <i> I think I saw it in my friend Fiona's hair. </i> My first was yellow.	5860680	508	US	2014
Faces with flesh of all different colors.	I saw sights and sounds I had no words to describe. <i> Faces with flesh of all different colors. </i> I felt so alive.	5860680	755	US	2014
I didn't know what to think, what to believe.	"This was forbidden. <i> I didn't know what to think, what to believe. </i> "" Have faith"", the giver told me."	5860680	758	US	2014
""" Have faith"", the giver told me."	"I didn't know what to think, what to believe. <i> "" Have faith"", the giver told me. </i> He said,"" faith,"" that was seeing beyond""."	5860680	759	US	2014
This is just for a while, mother, till the little guy catches up.	- Would you like to issue me a warning, director of justice? <i> This is just for a while, mother, till the little guy catches up. </i> I think we're all in agreement that he sleeps in my room.	5860680	477	US	2014
That girl, she has felt it.	Your son, he felt that. <i> That girl, she has felt it. </i> - That's enough.	5860680	1461	US	2014
This comfort object, is not a hippo.	"I'll take that as a"" yes."" <i> This comfort object, is not a hippo. </i> It's an elephant."	5860680	800	US	2014
I didn't understand why, but I wanted to help him.	He seemed... angry. <i> I didn't understand why, but I wanted to help him. </i> He hit me, and at first...	5860680	1281	US	2014
But tomorrow after work, meet me at the triangle.	Fine. <i> But tomorrow after work, meet me at the triangle. </i> I wanted to share it with her.	5860680	960	US	2014
Lily was telling us how she...	Jonas, just in time for feelings. <i> Lily was telling us how she... </i> - Where is Gabe?	5860680	1100	US	2014
Screaming at me to stop.	Nothing the giver had shown me had prepared me for the voices in my head. <i> Screaming at me to stop. </i> But I knew Fiona will be punished for helping me.	5860680	1377	US	2014
- I do trust you, Jonas.	CARGO RELEASING <i> - I do trust you, Jonas. </i> Come on, please.	5860680	1366	US	2014
Well, yeah, there's only one receiver of memory.	I stick out. <i> Well, yeah, there's only one receiver of memory. </i> - Two.	5860680	330	US	2014
Excuse me for one second, Fiona.	Distant whispers of what once made us reals. <i> Excuse me for one second, Fiona. </i> I have--- we must continue.	5860680	1467	US	2014
The last night of our childhood.	So, I guess this is it. <i> The last night of our childhood. </i> I guess everything's gonna be different.	5860680	114	US	2014
Now, you get some rest.	There'll be a nice ceremony. <i> Now, you get some rest. </i> I felt things.	5860680	1388	US	2014
And I'm about three years late in telling you this but nevertheless I need to say it.	- The great thing is I actually do. <i> And I'm about three years late in telling you this but nevertheless I need to say it. </i> Jasper...	5987878	1967	US	2006
I lost my contacts last night somehow.	- Good morning. <i> I lost my contacts last night somehow. </i> - Much better.	5987878	716	US	2006
We are the unloved ones.	We are the cursed of the loved ones. <i> We are the unloved ones. </i> The walking wounded.	5987878	24	US	2006
I'm miraculously done being in love with you!	This twisted, toxic thing between us is finally finished! <i> I'm miraculously done being in love with you! </i> I've got a life to start living.	5987878	1980	US	2006
""" I'm very interested, but the cottage is only available for home exchange."""	""" I know it's late to be asking but if you're at all interested, please contact me."" <i> "" I'm very interested, but the cottage is only available for home exchange."" </i> "" Home exchange""?"	5987878	355	US	2006
Two notes and you've got a villain.	I can go loud. <i> Two notes and you've got a villain. </i> I don't know what to say about it.	5987878	1640	US	2006
Amanda, I am so sorry.	I must have lost him. <i> Amanda, I am so sorry. </i> Can I call you back?	5987878	1586	US	2006
"- Well, not what I"" need."""	"You just don't wanna be what I need. <i> - Well, not what I"" need."" </i> - What?"	5987878	196	US	2006
Not exactly something hot but happy Christmas.	Well, let's hope you find it, then. <i> Not exactly something hot but happy Christmas. </i> Thank you.	5987878	108	US	2006
Three for the price of one.	And I realize I come with a package deal: <i> Three for the price of one. </i> And my package, perhaps in the light of day, isn't all that wonderful but I finally know what I want, and that, in itself, is a miracle.	5987878	1828	US	2006
I just have to say, this is one of the best Hanukkahs I've ever had.	Smells good. <i> I just have to say, this is one of the best Hanukkahs I've ever had. </i> Hear, hear.	5987878	1118	US	2006
She finished in Santa Fe after two days and has been staying with whatever-his-name-was.	You know what she said to me tonight? <i> She finished in Santa Fe after two days and has been staying with whatever-his-name-was. </i> Which means she's been right here in town.	5987878	1676	US	2006
I wanted to get away from one guy.	One person. <i> I wanted to get away from one guy. </i> An ex-boyfriend who just got engaged and forgot to tell me.	5987878	909	US	2006
I'm a book editor from London.	Right. <i> I'm a book editor from London. </i> You're a beautiful movie trailer-maker from L.A.	5987878	1431	US	2006
But you're gonna make that court date, right?	What they gonna teach me in there I ain't already learning out here? <i> But you're gonna make that court date, right? </i> Come on, Tango.	3692182	99	US	2009
- Yes, good to see you back, baby.	I'm out! <i> - Yes, good to see you back, baby. </i> - Hi, Mom.	3692182	681	US	2009
- I'll eat in the car.	Yeah, well, I'm not much of a reader either. <i> - I'll eat in the car. </i> - Yeah, good.	3692182	460	US	2009
- You know my wife is black.	- Ooh. <i> - You know my wife is black. </i> - Of course I know your wife is black.	3692182	1197	US	2009
Here, you and Myeisha take this.	Don't tell your mother. <i> Here, you and Myeisha take this. </i> Go out and have a good time, all right?	3692182	1175	US	2009
No no, there ain't no problem, man.	-' Cause there's a problem with the deal. <i> No no, there ain't no problem, man. </i> Ain't no problem I can't fix.	3692182	1845	US	2009
A couple of days, three days...	And you have to understand, you can stay here as long as you need, until you get on your feet. <i> A couple of days, three days... </i> However long you want.	5836657	1224	US	2014
Didn't you make the profile like two days ago?	Yeah, no, I just haven't changed it yet. <i> Didn't you make the profile like two days ago? </i> That's weird.	5836657	471	US	2014
All you can see is snow.	Behind me is the empire state building, but you can't see it. <i> All you can see is snow. </i> I bet you a 150 bucks	5836657	868	US	2014
so earlier you asked what I did for a living and I kinda got a little feisty.	¶ ¶ <i> so earlier you asked what I did for a living and I kinda got a little feisty. </i> You, feisty?	5836657	458	US	2014
I thought I was doing like a finishing move.	"Um, I mean, honestly, <i> I thought I was doing like a finishing move. </i> Kind of like a"" mortal kombat"" thing like,"	5836657	832	US	2014
She was supposed to get back this afternoon but her flight got canceled.	When does she get back? <i> She was supposed to get back this afternoon but her flight got canceled. </i> I heard about that.	5836657	1101	US	2014
I helped her break into that apartment?	Uh, okay, well, what if I told you that <i> I helped her break into that apartment? </i> Then would you lock me up with her?	5836657	1336	US	2014
But Cedric's an EMT, can he like...	This could be every day. <i> But Cedric's an EMT, can he like... </i> Helicopter me out of here or something?	5836657	317	US	2014
A semester later I graduated with a degree	Nothing. <i> A semester later I graduated with a degree </i> I had no intention of using.	5836657	1059	US	2014
Mr. and Mrs. lopan's apartment?	Did you, or did you not, break in through the window of <i> Mr. and Mrs. lopan's apartment? </i> You, um...	5836657	1317	US	2014
Wow, that is officially the worst review my oatmeal has ever received.	This is what I deserve, it's penance. <i> Wow, that is officially the worst review my oatmeal has ever received. </i> It's what I get for slutting it up.	5836657	339	US	2014
He has no idea how rare you are.	But... when he's ready, that girl's not going to be there. <i> He has no idea how rare you are. </i> What are those?	5836657	1073	US	2014
( Crowd) Five, four, three, two, one!	Oh, okay then. <i> ( Crowd) Five, four, three, two, one! </i> Happy new year!	5836657	1343	US	2014
Was there a lot of alcohol in your garden as a child?	Well, it's got a bit of alcohol in it, so it tastes... <i> Was there a lot of alcohol in your garden as a child? </i> I'm sorry, Rob.	4259257	690	UK	2010
- Oh, no, why's that, then?	- Crap. <i> - Oh, no, why's that, then? </i> I didn't do much, just stayed in, really.	3320486	332	UK	2008
- Take your shoes off, Suzy.	- Yeah. <i> - Take your shoes off, Suzy. </i> - All right!	3320486	1972	UK	2008
And you shouldn't have got us to come here under false pretenses.	I don't see what we can do about it. <i> And you shouldn't have got us to come here under false pretenses. </i> That's just out of order.	5145968	446	UK	2012
- You are late with your rent payments.	I don't like them. <i> - You are late with your rent payments. </i> - Oh.	5623414	666	UK	2013
I went for a walk.	- Seriously. <i> I went for a walk. </i> Thought we were going out for a drink.	3320486	1498	UK	2008
And if it can be explained, then it can be explained away.	But to put something in context is a step towards saying it can be understood and explained. <i> And if it can be explained, then it can be explained away. </i> Tout comprendre, c'est tout pardonner.	3120452	1329	UK	2006
Listen, and use my ticket.	Get on the train... <i> Listen, and use my ticket. </i> I'll get down there, OK?	5623414	2440	UK	2013
One of the most delightful meals, one of the most delightful homecomings I've ever enjoyed.	This is delightful. <i> One of the most delightful meals, one of the most delightful homecomings I've ever enjoyed. </i> Oh, well, it did stick to the bottom of the pan a bit...	4259257	2733	UK	2010
Oh, well, it did stick to the bottom of the pan a bit...	One of the most delightful meals, one of the most delightful homecomings I've ever enjoyed. <i> Oh, well, it did stick to the bottom of the pan a bit... </i> - Did it?	4259257	2734	UK	2010
Don't tell me what it is.	Look at it. <i> Don't tell me what it is. </i> No, no.	3564173	981	UK	2008
"It's spelt with a"" K""."	"Nikila? <i> It's spelt with a"" K"". </i> Do..."	5510712	582	UK	2013
# I know, I said that I was leaving	Are you warm enough? <i> # I know, I said that I was leaving </i> - That's nice.	3320486	1387	UK	2008
Do you want to have a walk, get a breath of fresh air or something?	Oh, well, make your mind up. <i> Do you want to have a walk, get a breath of fresh air or something? </i> No?	3320486	1858	UK	2008
What, with my flying flock of feathered friends?	How did it go today? <i> What, with my flying flock of feathered friends? </i> Good, they loved it.	3320486	375	UK	2008
Go on up, leave the door.	Go on, baby, you can do it. <i> Go on up, leave the door. </i> - You can do it.	5623414	653	UK	2013
Conspiracy to pervert the course of justice.	- Right. <i> Conspiracy to pervert the course of justice. </i> Those girls get in front of a jury...	3552835	784	UK	2008
Even when the policeman heard us, when he fell!	You just sat there crying! <i> Even when the policeman heard us, when he fell! </i> I tried.	5167828	889	UK	2001
- My battery died on me.	- Left you a message. <i> - My battery died on me. </i> - So how was your day?	3320486	1503	UK	2008
- You don't have a membership.	- My membership. <i> - You don't have a membership. </i> But I used to.	5204705	702	UK	2012
It's a bit too bright.	Bit of the Shackleton... <i> It's a bit too bright. </i> Well, this is what I would wear if I was, you know, genuinely out walking.	4259257	1654	UK	2010
What happened with Hector, on the bike?	He's only five minutes older than we are. <i> What happened with Hector, on the bike? </i> As per.	3120452	506	UK	2006
( Raising his voice) I mean, that man, he was frightened.	Now, before you say another word, he was using it as protection. <i> ( Raising his voice) I mean, that man, he was frightened. </i> Terrified.	3666051	499	UK	2009
# And in the end there is love...	# And in the end there is love... <i> # And in the end there is love... </i> - You're looking good.	3357285	450	UK	2007
I don't believe in him.	What did Father Christmas bring? <i> I don't believe in him. </i> I shan't see another Christmas.	3564173	10	UK	2008
It belonged to my father.	Thank you. <i> It belonged to my father. </i> My mother gave it to him on their honeymoon.	3357285	961	UK	2007
You could have got someone to post it for you.	He's right, he was in Spain. <i> You could have got someone to post it for you. </i> Oh, Come on.	5145968	657	UK	2012
But it's very hard because you won't talk at all, so it always looks like I'm talking too much.	Well, yeah, you're right and I know that sometimes I talk too much. <i> But it's very hard because you won't talk at all, so it always looks like I'm talking too much. </i> Jesus, Stephen, can't you see this?	3357285	1024	UK	2007
# Because there's nothing else to do	# And dance and drink and screw <i> # Because there's nothing else to do </i> The music's stopped.	3320486	33	UK	2008
- It's a long way to go to find out, Demps.	- What if we do? <i> - It's a long way to go to find out, Demps. </i> - It's a fucking ferry ride away, mate.	5204705	1045	UK	2012
Well, El's father filed for bankruptcy over the summer.	It's not like any of us are paupers. <i> Well, El's father filed for bankruptcy over the summer. </i> Shit!	5145968	185	UK	2012
Spoken like a true lady.	Down you go. <i> Spoken like a true lady. </i> Paul, be careful!	5145968	246	UK	2012
""" I found it the best restaurant experience over the years."	""" blown away by the originality, integrity, and extravagance. <i> "" I found it the best restaurant experience over the years. </i> Love is not strong enough to describe what I felt about it!"""	4259257	956	UK	2010
No taxis around here, boy.	It's not London, Dix. <i> No taxis around here, boy. </i> I'll take you.	5623414	1554	UK	2013
Let me take your jacket.	MARK: <i> Let me take your jacket. </i> God, how do I get this off?	4640913	1167	UK	2011
Lovely place to grow up, you know?	- Yeah, lovely. <i> Lovely place to grow up, you know? </i> Hello.	4259257	2425	UK	2010
You two didn't kill each other?	So! <i> You two didn't kill each other? </i> Not yet.	5167828	182	UK	2001
let's just stay down here.	Dane! <i> let's just stay down here. </i> Did you close that when you came home?	5167828	437	UK	2001
- Do I have to count to 1 0?	Look, do you want to catch fish or do you want to kill people? <i> - Do I have to count to 1 0? </i> - Not tonight.	5510712	813	UK	2013
- It's only five years away.	- Give me a chance, I've just turned 30. <i> - It's only five years away. </i> - You've got to make plans.	3320486	2144	UK	2008
You draw a picture now.	Yeah, you carry on. <i> You draw a picture now. </i> Hold on.	3320486	1329	UK	2008
We just seem to argue all the time.	- What? <i> We just seem to argue all the time. </i> He's so angry with me that I can't seem to do anything right.	3357285	1161	UK	2007
Most important, the findings suggest that crime on the estate has declined by almost 30 percent.	Now, as I made clear many months ago we operate and apply a zero-tolerance policy with reference to criminal activity involving firearms and the distribution of drugs. <i> Most important, the findings suggest that crime on the estate has declined by almost 30 percent. </i> With continued help from members of the community, we hope to eradicate the criminal element	3666051	1050	UK	2009
So how long had you been with Roper before the police arrived?	No, I suppose it's not. <i> So how long had you been with Roper before the police arrived? </i> A few minutes.	5204705	1203	UK	2012
I think three days should be the maximum that I stay away for.	All present and correct. <i> I think three days should be the maximum that I stay away for. </i> Mm-hmm.	4259257	2759	UK	2010
You're 30 minutes from dying.	Oh, you prick. <i> You're 30 minutes from dying. </i> We're an hour from shore.	3552835	1074	UK	2008
They're not even bad, they're just boring.	So they'll know, when they do an essay on the Church at the time of the Reformation, that, oh, look, some silly nonsense on the foreskins of Christ will come in handy, so that their essays, unlike yours, will not be dull. <i> They're not even bad, they're just boring. </i> You haven't got a hope.	3120452	478	UK	2006
# And long for the day when I'll cling to him	# Each spring to him <i> # And long for the day when I'll cling to him </i> # Bewitched, bothered and bewildered	3120452	2047	UK	2006
♪ If you don't rearrange us ♪	♪ I don't want that I want you instead ♪ <i> ♪ If you don't rearrange us ♪ </i> ♪ If you don't rearrange us ♪	4640913	19	UK	2011
Well, that may be true, but I have a problem.	Nothing. <i> Well, that may be true, but I have a problem. </i> Counsel will argue that whoever killed Mr Attwell did so out of self defence, which means they'll be charged with manslaughter, not murder.	3666051	508	UK	2009
When you say it, just don't caricature it.	- I know. <i> When you say it, just don't caricature it. </i> Try and do it real.	6107374	772	UK	2010
- Please don't make me do this.	- Don't! <i> - Please don't make me do this. </i> - Josh.	3552835	1169	UK	2008
Uh, I know he brings out the maternal in you girls or something, but honestly, I think...	In a sweaty, loser kind of way. <i> Uh, I know he brings out the maternal in you girls or something, but honestly, I think... </i> I think he's a creep.	5145968	193	UK	2012
I think we should go back.	You lot. <i> I think we should go back. </i> - You what?	3552835	142	UK	2008
But look, look, look, you're right, I should have got you alone.	Uh, no, I just found out this afternoon. <i> But look, look, look, you're right, I should have got you alone. </i> - What's up, guy?	5145968	34	UK	2012
-( Mrs Lintott) The new man seems clever.	What's truth got to do with anything? <i> -( Mrs Lintott) The new man seems clever. </i> - He does.	3120452	537	UK	2006
Daddy said I could have ice cream.	He's all yours now. <i> Daddy said I could have ice cream. </i> - Did he?	3357285	129	UK	2007
Dakin, you're happy, I'm sure.	Kids don't help, though, Miss. <i> Dakin, you're happy, I'm sure. </i> Of course I'm happy.	3120452	1991	UK	2006
