SENTENCE	FULL_CONTEXT	SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
- This isn't close to public property.	This is public property. <i> - This isn't close to public property. </i> - Yes, it is!	close	1	3151540	1129	US	2007			
He's not who you think he is, Jake!	He's desperate to get you back in his life. <i> He's not who you think he is, Jake! </i> People change.	not who you think he is	1	3967329	1245	US	2010			
You might want to wipe some of the drool off your face, Jake.	This is more than just charity, Winn. <i> You might want to wipe some of the drool off your face, Jake. </i> Winnie, if it wasn't important,	drool	1	3967329	1868	US	2010			
- That was a breaking ball, right?	No, what? <i> - That was a breaking ball, right? </i> - Yeah.	breaking	2	4744540	1286	US	2012	a curveball in baseball.		breaking ball
Last night meant more to me than you know.	Look, you have to believe me. <i> Last night meant more to me than you know. </i> Get out of the way, Mickey.	mickey	1	4744540	1559	US	2012			
"In a get, you get to get rid of the entire schmuck."""	"She says,"" Yes, except that in a bris, it's one thing. <i> In a get, you get to get rid of the entire schmuck."" </i> Hey, there."	schmuck	3	5905224	1692	US	2012	a stupid or contemptible person, a jerk.		idiot
I put this practise together and I made you all filthy stinking rich.	You're gonna back me up. <i> I put this practise together and I made you all filthy stinking rich. </i> Especially you, Stelter.	filthy stinking	2	3151540	1861	US	2007			
- Two weeks is a long time.	- Yeah, we... we do. <i> - Two weeks is a long time. </i> Come on.	yeah	1	5905224	683	US	2012			
I memorized a face so it's not forgotten	When the world was just beginning <i> I memorized a face so it's not forgotten </i> I hear the wind whistlin'	whistlin	1	3967329	28	US	2010			
- turned out in the past.	So, sorry to be a prick, but we all know how your financial adventures <i> - turned out in the past. </i> - Look, that was a long time ago, okay?	prick	1	5905224	740	US	2012			
"And say,"" Yeah, come on, come in."	"So we can just open the fucking floodgates and let them all come in? <i> And say,"" Yeah, come on, come in. </i> Get off your ship."	yeah	2	3179568	1157	UK	2006	yes		yes
I mean, I've only got, like, one spliff left on me.	You know what I mean? <i> I mean, I've only got, like, one spliff left on me. </i> I can't really give that away.	spliff	3	3179568	1975	UK	2006	cannabis cigarette, joint		joint
Who drinks a brew that big?	Look at the size of that brew. <i> Who drinks a brew that big? </i> I bet you all thought I was a right fucking horrible, horrible, horrible little bastard the other day, didn't you?	brew	2	3179568	1101	UK	2006	cup of tea (sometimes beer)		tea
You've blossomed, haven't you, love?	Fucking hell! <i> You've blossomed, haven't you, love? </i> - How are you doing?	blossomed	2	3179568	912	UK	2006			
This dude, here, he spent three years in the pen for me, he never said nothing.	Listen to me now. <i> This dude, here, he spent three years in the pen for me, he never said nothing. </i> If it weren't for him, I wouldn't be with you guys now.	dude	2	3179568	905	UK	2006	generally affectionate term for a person, usually male		man
He were like that before he went in.	Has to be number one. <i> He were like that before he went in. </i> Nowt's frigging changed, at all.	he were like that	1	3179568	1048	UK	2006			
That's gonna be our fucking centrepiece.	We'll build all our stuff round that. <i> That's gonna be our fucking centrepiece. </i> That's the focus.	gonna	2	3179568	1506	UK	2006	going to		going to
Get the fuck out of here, you fucking goggle-eyed twat!	I'll fucking throttle you, you fucking fat piece of shit! <i> Get the fuck out of here, you fucking goggle-eyed twat! </i> Get out.	fuck	1	3179568	2236	UK	2006			
Here y'are, here's a corner, why don't you build a shop?	Was it hard? <i> Here y'are, here's a corner, why don't you build a shop? </i> Better still, why don't you build a shop and then build a church?	y'are	1	3179568	1161	UK	2006			
- Wanna hear a fucking joke, yeah?	Yeah. <i> - Wanna hear a fucking joke, yeah? </i> - Yeah, go on, then.	wanna	2	3179568	128	UK	2006	want to		want to
Jobson's not going to be very happy, is he, the way we've treated his lads?	Sorry, boss. <i> Jobson's not going to be very happy, is he, the way we've treated his lads? </i> Maurice can piss off.	lads	3	3472293	849	UK	2009	boys, young men		boys
I'm not fucking having it.	Sharon, please. <i> I'm not fucking having it. </i> Come on!	fucking	1	3472293	775	UK	2009			
Least the Force saw you all right.	Not now. <i> Least the Force saw you all right. </i> Bollocks.	all	1	3472293	752	UK	2009			
I don't know how much longer I can get away with it, really,'cause I'm a bit of an old chap.	Give it all that, you know. <i> I don't know how much longer I can get away with it, really,'cause I'm a bit of an old chap. </i> Anybody else?	chap	1	3670999	1469	UK	2010			
Sex, drugs and rock and roll.	And I am about to grow up. <i> Sex, drugs and rock and roll. </i> Okay, how about...	rock and roll	1	3670999	672	UK	2010			
Oh, come on, Bet, just this once.	Please. <i> Oh, come on, Bet, just this once. </i> I've got work.	bet	1	3670999	862	UK	2010			
Sometimes it doesn't work out, okay?	How are you? <i> Sometimes it doesn't work out, okay? </i> Sometimes you have to save yourself.	okay	2	3670999	1412	UK	2010	all right, i agree		allright
You know, what else is there?	So it was good to see the football and the music thing. <i> You know, what else is there? </i> What else is there?	you know	1	5778643	614	UK	2013			
This was like a god.	I look back now and think, you know, we should have gone in more and talked to him more, but you were scared. <i> This was like a god. </i> DANNY BOYLE:	like a god	1	5778643	497	UK	2013			
You never think, years ahead, how they became such a friendly unit.	One's from Gorton, one's from Oldham, one's from London, two boys from Bury and Ryan from Salford. <i> You never think, years ahead, how they became such a friendly unit. </i> Almost like brothers.	unit	1	5778643	983	UK	2013			
You have seen a magician wave a wand!	What a goal! <i> You have seen a magician wave a wand! </i> And conjure up a trick which the FA Cup and all its glorious past can revel in.	magician wave a wand	1	5778643	778	UK	2013			
- I missed a load of chances as well.	And then it just sort of lifted everything. <i> - I missed a load of chances as well. </i> - We had so many chances, didn't we?	load of	1	5778643	1492	UK	2013			
And I've looked round like that, he's turned round, full pirouette and caught his manhood right on the pot.	I put a steaming-hot kettle on the bed, and I put it behind his arse, like that, so I was sort of like that, looking at the lads, laughing, thinking he's just going to touch it there. <i> And I've looked round like that, he's turned round, full pirouette and caught his manhood right on the pot. </i> And you heard a little...( MIMICS SIZZLE) like that as well.	pirouette… manhood	1	5778643	1131	UK	2013			
I first seen him at The Cliff, playing in a game, and he was one of them players that you just,	"And I think it was probably one of the times when I probably did have to be strong with myself, that what I was doing and what I believed in was right. <i> I first seen him at The Cliff, playing in a game, and he was one of them players that you just, </i> "" Wait a minute, is he right-footed or left-footed?"""	them players	1	5778643	846	UK	2013			
I do not know why you put up with him.	Really. <i> I do not know why you put up with him. </i> - He taught me the important things in life.	put up with	1	6224678	474	UK	2014			
What about the fucker who spat in your face?	They were all wearing masks. <i> What about the fucker who spat in your face? </i> Yeah.	fucker	2	6224678	962	UK	2014	literally one who has sex but generally used as an insult		nasty
They would pull him in for questioning, but...	I could probably find him. <i> They would pull him in for questioning, but... </i> Where would that leave you?	pull	1	6224678	965	UK	2014			
- What is your fucking name?	- Fifteen. <i> - What is your fucking name? </i> - Fuck you!	fucking	1	6224678	1139	UK	2014			
However, it is also because they are kids.	Come on! <i> However, it is also because they are kids. </i> They are just reacting in addition, trying to make sense.	kids	3	6224678	616	UK	2014	children		children
He always was a nuttier.	Dive out the way at the last possible moment. <i> He always was a nuttier. </i> Michael was driving.	nuttier	3	6224678	1335	UK	2014	i think this means nutter - which means someone who is not quite sane		insane
Well, I am not fucking about.	We were just fucking about. <i> Well, I am not fucking about. </i> No, no.	fucking about	1	6224678	1199	UK	2014			
You know, I think it's about time you get your head around what is and what isn't good music.	Just glad you wanted to do this just out of nowhere. <i> You know, I think it's about time you get your head around what is and what isn't good music. </i> Oh, right, right, right.	head around	1	3151540	1293	US	2007			
No, but they said they were gonna give me a little more time.	It's the other properties, Mom. <i> No, but they said they were gonna give me a little more time. </i> And all I need is a 110 grand, and then that way, I can keep all three properties in play.	grand	1	3967329	1954	US	2010			
What would you bet on?	So, say you were her. <i> What would you bet on? </i> I would go with...	bet	1	5905224	35	US	2012			
Anywhere you wanna go, anywhere in the world.	Let's have an adventure together-- you and me-- finally. <i> Anywhere you wanna go, anywhere in the world. </i> This is not my idea of a good time.	wanna	2	54446	1818	US	2000	"a contraction of ""want to"", used in informal speech and writing to indicate the desire or intention to do something."	https://greensdictofslang.com/entry/xnjqhyq	want to
I'm not gonna back out of the franchise deal.	And don't worry. <i> I'm not gonna back out of the franchise deal. </i> That's not what I'm worried about.	gonna	1	5905224	1534	US	2012			
I was your college roommate.	Burrows Hall. <i> I was your college roommate. </i> You don't remember me?	roommate	1	3151540	219	US	2007			
So, now that we have our man, let me say a few words.	Sit. <i> So, now that we have our man, let me say a few words. </i> As you all know, our beloved Mike surprised us very much with his unexpected Jewishness and his total conversion.	few words	1	5905224	1403	US	2012			
You got to read this shit.	Dude, what are you doing? <i> You got to read this shit. </i> Dude, how many credit cards do you sign up for?	shit	3	5905224	621	US	2012	something that is considered worthless or of poor quality.	https://greensdictofslang.com/entry/sgstbjq	worthless
But you cannot make friends with the rock stars.	You got an honest face, and they're gonna tell you everything. <i> But you cannot make friends with the rock stars. </i> - Is it okay if I--	stars	1	54446	228	US	2000			
Maybe you can, maybe you can.	Maybe I can help. <i> Maybe you can, maybe you can. </i> That's what makes the market, Jake.	market	1	3967329	732	US	2010			
Look, I told you before, Winnie was gonna stake me when I got out.	Well, it's the same answer. <i> Look, I told you before, Winnie was gonna stake me when I got out. </i> You remember, she reneged.	stake	3	3967329	2093	US	2010	to financially support or invest in someone or something.	https://greensdictofslang.com/entry/zgimvpy	invest
Did you talk to Russell Hammond?	And worse, you wasted our time. <i> Did you talk to Russell Hammond? </i> Russell Hammond is the one who denied it.	time	1	54446	1797	US	2000			
I don't think anyone can really explain rock' n' roll.	Some people have a hard time explaining rock' n' roll. <i> I don't think anyone can really explain rock' n' roll. </i> Maybe Pete Townshend, but that's okay.	rock' n' roll	1	54446	364	US	2000			
A-Rod lines a shot to center.	Here comes the oh-one. <i> A-Rod lines a shot to center. </i> The outfielder can't make the play.	lines a shot	1	4744540	283	US	2012			
I mean, like 25 pages of dribble--	I'd stay up all night, just writing and writing. <i> I mean, like 25 pages of dribble-- </i> You know, about The Faces, or Coltrane.	dribble	2	54446	216	US	2000			
I'll wire it to you.	You're killing me, Ma! <i> I'll wire it to you. </i> Can you stop, please?	wire	2	3967329	952	US	2010			
Maybe he can find one on his interweb.	Yeah. <i> Maybe he can find one on his interweb. </i> Spotlight's really on this kid.	interweb	1	4744540	204	US	2012			
We have got a prenup.	We are like Brad Pitt and Angelina Jolie. <i> We have got a prenup. </i> Yeah!	prenup	2	5905224	582	US	2012			
I think you'd like it.	No, actually, it's a... <i> I think you'd like it. </i> It's really fun.	you'd	1	4744540	1080	US	2012			
You guys, we are like real celebrities.	- Yo! <i> You guys, we are like real celebrities. </i> We are like Brad Pitt and Angelina Jolie.	yo	1	5905224	580	US	2012			
"You said,"""" The most valuable commodity I know is time."""""	"That's your grandson. <i> You said,"""" The most valuable commodity I know is time."""" </i> You're looking at time."	commodity	1	3967329	2126	US	2010			
Come on, Penny, join us.	Baby, yes. <i> Come on, Penny, join us. </i> Take a vacation from yourself.	vacation	1	54446	1102	US	2000			
Don't do it to make friends with people... who are trying to use you... to further the big business desire... to glorify worthless rock stars like Stillwater!	Remember this: <i> Don't do it to make friends with people... who are trying to use you... to further the big business desire... to glorify worthless rock stars like Stillwater! </i> Don't let those swill merchants rewrite you.	use you	1	54446	592	US	2000			
Well, things are definitely screwed up.	Phillip Sanderson sent that guy up here to make sure I didn't screw it all up. <i> Well, things are definitely screwed up. </i> So, what do we do now?	screwed up	3	4744540	1572	US	2012			
Call me if you need a rescue.	So, how well do you guys know each other? <i> Call me if you need a rescue. </i> We live in the same city.	rescue	1	54446	469	US	2000			
And I'm gonna sing to you like a father would sing to his little Jewish boy.	All right. <i> And I'm gonna sing to you like a father would sing to his little Jewish boy. </i> Wow!	sing	1	5905224	444	US	2012			
What's the matter with you?	I don't know. <i> What's the matter with you? </i> You okay?	matter	2	4744540	1398	US	2012			
You'll meet them all again on their long journey to the middle.	- They hate me. <i> You'll meet them all again on their long journey to the middle. </i> Your writing is damn good.	middle	1	54446	194	US	2000			
You know, I decided to sign us up for another photography class.	That's Charlie Fineman. <i> You know, I decided to sign us up for another photography class. </i> You did?	photography	1	3151540	95	US	2007			
Okay, and his swing, is it a two-piece deal or is it nice and fluid?	I know. <i> Okay, and his swing, is it a two-piece deal or is it nice and fluid? </i> And then go around the other side and see how he goes the opposite way.	swing	1	4744540	805	US	2012			
- You ordered your salad like a shrink.	You got shrink hands. <i> - You ordered your salad like a shrink. </i> - Okay.	shrink	2	3151540	1380	US	2007			
She passed just before the wedding.	I met her a couple of times. <i> She passed just before the wedding. </i> You know, my wife and I, we tried to call him so many times.	passed	2	3151540	563	US	2007			
Because your loyalty demanded revenge.	Why me? <i> Because your loyalty demanded revenge. </i> Your balls actually attempted it, and your skill pulled it off.	actually attempted it	1	3967329	1040	US	2010			
What did you think, it was just gonna shoot up in perpetuity?	I put it into the new properties. <i> What did you think, it was just gonna shoot up in perpetuity? </i> Don't patronize your mother, Jacob Lawrence.	shoot up	1	3967329	933	US	2010			
His name is Todd and he will, loud and clear.	That thing hear you? <i> His name is Todd and he will, loud and clear. </i> There you go, baby.	loud and clear	1	4744540	854	US	2012			
I never had a sister that looked like you.	Sorry about the kiss. <i> I never had a sister that looked like you. </i> You know what?	you know what	1	4744540	722	US	2012			
I already have a copy.	Is this the prenup? <i> I already have a copy. </i> No, it's the guest list from your wedding.	prenup	1	5905224	1641	US	2012			
We've been over this, Bretton.	They spin a sexy story with these super-thin cadmium telluride semiconductors, but the truth is, the technology is not proprietary... <i> We've been over this, Bretton. </i> You are unbelievable, Moore.	over	1	3967329	1255	US	2010			
$ 50 million into, Mr. Brainiac?	You mean the deal that we already sank <i> $ 50 million into, Mr. Brainiac? </i> Alternative energy is what biotech was 15 years ago, Stan.	sank	1	3967329	166	US	2010			
You know how I feel about you, but God Almighty, if you're wrong...	Like I told you last night, kid can't hit a curve ball. <i> You know how I feel about you, but God Almighty, if you're wrong... </i> Well, I'm not wrong.	god almighty	2	4744540	1494	US	2012			
You're well out of line.	Oh, listen to fucking Sigmund Void there. <i> You're well out of line. </i> Well out of line, man.	well	1	3179568	1249	UK	2006			
Take what you want, kid.	Fucking hands off him! <i> Take what you want, kid. </i> Take the fucking whisky and the ciggies.	kid	3	3179568	1615	UK	2006	child		child
Fucking cheap and easy, which makes us cheap and easy.	Cheap and easy labour. <i> Fucking cheap and easy, which makes us cheap and easy. </i> Three and a half fucking million!	cheap and easy	1	3179568	1177	UK	2006			
I've got the munchies badly.	I'm really starving, man. <i> I've got the munchies badly. </i> - Combo, have you eaten the biscuits?	munchies	3	3179568	2100	UK	2006	needing something to eat, often associated with people who have been smoking cannabis		hungry
You fancy Smell, don't you?	Look at him. <i> You fancy Smell, don't you? </i> - Ah!	smell	1	3179568	808	UK	2006			
How can you fucking live like this?	I'm starving! <i> How can you fucking live like this? </i> There's not even a mouldy Twiglet.	fucking	1	3179568	2097	UK	2006			
All of yous running off on me, hiding on me.	I had to carry all the bags. <i> All of yous running off on me, hiding on me. </i> Listen to me.	yous	1	3179568	432	UK	2006			
So long as you're not letting it get to you, Peter, letting it get personal.	No way, not now. <i> So long as you're not letting it get to you, Peter, letting it get personal. </i> Mr Hunter, could you comment on the catalogue of bungling and neglect that has characterised this investigation?	get to you	1	3472293	892	UK	2009			
At the start, the only links we had was that they were all slags.	But initially you didn't think it was the same man. <i> At the start, the only links we had was that they were all slags. </i> Until the letter.	slags	3	3472293	593	UK	2009	promiscuous women, tarts		promiscuous
Dougie used to come over and play a round or two with Eric every now and again.	Only Dougie. <i> Dougie used to come over and play a round or two with Eric every now and again. </i> Dougie?	play a round	1	3472293	675	UK	2009			
You can keep going back for more until they have to roll you out.	That's lucky, then, isn't it? <i> You can keep going back for more until they have to roll you out. </i> Are you sure?	roll you out	1	3472293	177	UK	2009			
OK, here's what we're going to do.	Yeah. <i> OK, here's what we're going to do. </i> I'm going to give each one of you a year or two of the investigation and 24 hours to get to grips with the files.	ok	1	3472293	279	UK	2009			
I'm going to give each one of you a year or two of the investigation and 24 hours to get to grips with the files.	OK, here's what we're going to do. <i> I'm going to give each one of you a year or two of the investigation and 24 hours to get to grips with the files. </i> I want details of cars sighted, descriptions of all witnesses, suspects, whatever.	get to grips	1	3472293	280	UK	2009			
See you in the morning, boss.	Well, I'm going to get an early night. <i> See you in the morning, boss. </i> Night.	boss	2	3472293	857	UK	2009			
Come inside and close the blood claat door, man.	What's wrong with that? <i> Come inside and close the blood claat door, man. </i> Fucking Strang, Strang.	blood claat	2	3670999	1271	UK	2010	a sanitary napkin, now used as a swear word		napkin
Well, our motto here is ex corde vita.	I understand you've found it difficult to fit in at other schools. <i> Well, our motto here is ex corde vita. </i> Out of the heart springs life.	ex corde vita	1	3670999	1367	UK	2010			
See what your old man has to go through every day?	I'm still getting used to it myself, actually. <i> See what your old man has to go through every day? </i> What a palaver.	old man	1	3670999	605	UK	2010			
And now, then, let's see what the old clot has got.	Your dad's here. <i> And now, then, let's see what the old clot has got. </i> For you, Jemima darling...	clot	2	3670999	308	UK	2010	idiot, moron		moron
It's the worst gig we've ever played since Sidcup Crematorium.	Yes, a big hand for you lot. <i> It's the worst gig we've ever played since Sidcup Crematorium. </i> But we'd like to finish anyway with a song called Blackmail Man.	gig	1	3670999	138	UK	2010			
All them southpaws should be buried at birth.	Good, orthodox, lovely. <i> All them southpaws should be buried at birth. </i> Where are you going?	southpaws	2	3670999	495	UK	2010	person who is left handed		lefthander
You know, I remember some rapper or something,	I just... <i> You know, I remember some rapper or something, </i> I can't even remember his name, coming to the dressing room, and we're all up dancing, or trying to dance on the side of the...	you know	1	5778643	1623	UK	2013			
"The boss called me and he said,"" Don't worry, son,"	"I mean, the press were ridiculous. <i> The boss called me and he said,"" Don't worry, son, </i> "" it's over, you'll come back, you're a Manchester United player,"	son	1	5778643	1380	UK	2013			
""" All right, Treacle."" You know, and just..."	"I used to call him"" Treacle"". <i> "" All right, Treacle."" You know, and just... </i> That was his nickname."	treacle	2	5778643	88	UK	2013			
I remember in the youth team, he used to have Eric Harrison banging on the door at him, calling him all the names in the world for playing stupid Hollywood passes, and he kept doing it.	"He didn't say"" seriously"", he said something else, but he said,"" Stop doing those Hollywood balls!"" <i> I remember in the youth team, he used to have Eric Harrison banging on the door at him, calling him all the names in the world for playing stupid Hollywood passes, and he kept doing it. </i> He'd bang at him and he'd get hammered and he kept doing it and doing it, and then he ended up being one of the best long passers in the game."	hollywood passes	1	5778643	1263	UK	2013			
Because I was running waiting for you to square it.	- Have you seen it? <i> Because I was running waiting for you to square it. </i> And you ran away celebrating, and you take your top off, and I go like that...( LAUGHS)	square it	1	5778643	816	UK	2013			
- Stay the fuck away from here.	Listen now. <i> - Stay the fuck away from here. </i> - Do you know what is going to happen to you?	fuck	1	6224678	1010	UK	2014			
It is not fucking Luca.	Is it something that he said? <i> It is not fucking Luca. </i> It is not fucking Luca!	fucking	1	6224678	908	UK	2014			
You are just Fucking standing there.	I am the one going to hell. <i> You are just Fucking standing there. </i> Watching.	fucking	2	6224678	1221	UK	2014			
That these kids... and that's all they are... they are just babies.	However, the scary thing is... <i> That these kids... and that's all they are... they are just babies. </i> They do not think what they have done is that wrong.	kids	1	6224678	613	UK	2014			
Spotlight's really on this kid.	Maybe he can find one on his interweb. <i> Spotlight's really on this kid. </i> Well, there's breakfast.	spotlight’s	1	4744540	205	US	2012			
I don't wanna sound like a rooster taking credit for the dawn, but turning$ 100 million into$ 1. 1 billion in this market, takes some brains, right?	Look away, look away Look away, oh, yeah <i> I don't wanna sound like a rooster taking credit for the dawn, but turning$ 100 million into$ 1. 1 billion in this market, takes some brains, right? </i> My guys are good.	rooster	1	3967329	2184	US	2010			
- Each one will have different powers.	It's like you're gonna use a bow and arrow more. <i> - Each one will have different powers. </i> - What are we doing?	different powers	1	3151540	896	US	2007			
You are the worst kind of toxic debt this system's polluted with.	You are the moral hazard. <i> You are the worst kind of toxic debt this system's polluted with. </i> Is this a threat?	toxic debt	1	3967329	1719	US	2010			
So, why didn't you get the L.O.I. signed again?	You got to be kidding me. <i> So, why didn't you get the L.O.I. signed again? </i> Alex is coming to the restaurant on Friday.	kidding	1	5905224	984	US	2012			
- Am I wrong about her tits?	We'll do the meet-and-greet, you'll see what you think if you like her, we go from there. <i> - Am I wrong about her tits? </i> - No, you're right.	tits	1	3151540	1519	US	2007			
Oh, yeah, I remember you.	You remind me of some a-hole back in Punkton, Kansas, when I was a kid. <i> Oh, yeah, I remember you. </i> Sorry, kid.	sorry	1	5905224	1187	US	2012			
- What seems to be the problem?	- Keep it on and clean the table! <i> - What seems to be the problem? </i> He wants to get fired, Mr. Lipnick.	fired	1	5905224	88	US	2012			
The one that wanted to go down on you?	What happened to that woman? <i> The one that wanted to go down on you? </i> I talked to Melanie at the office, and she said you made it go away.	go down	1	3151540	1427	US	2007			
All right, now, those of you who were screwed by the groom.	Thanks for playing. <i> All right, now, those of you who were screwed by the groom. </i> Yeah!	screwed	3	5905224	1809	US	2012			
- I gotta be really careful, though, I don't-	I just <i> - I gotta be really careful, though, I don't- </i> I just know I'm better off not having certain thoughts.	gotta	1	3151540	1477	US	2007			
I mean, she couldn't break into it before she was 25 anyway.	But it's a trust. <i> I mean, she couldn't break into it before she was 25 anyway. </i> Are you as dumb as you sound?	break	2	3967329	1814	US	2010			
You want to make one last trade?	You, Gordo. <i> You want to make one last trade? </i> Well, that depends.	last trade	1	3967329	2087	US	2010			
I miss you like crazy, and I love you, baby, and I'm sorry.	We like bedtime stories. <i> I miss you like crazy, and I love you, baby, and I'm sorry. </i> Bretton James, the rumor is that he was shorting Keller Zabel stock before he ended up acquiring it.	crazy	1	3967329	2138	US	2010			
Because if you think Mick Jagger'll still be out there... trying to be a rock star at age 50, you're sadly, sadly mistaken.	That's what the big boys do. <i> Because if you think Mick Jagger'll still be out there... trying to be a rock star at age 50, you're sadly, sadly mistaken. </i> I didn't invent the rainy day, man.	rainy day	1	54446	1279	US	2000			
Do you give a shit about a T-shirt?	It's a T-shirt. <i> Do you give a shit about a T-shirt? </i> I'm just hungry, man.	shit	2	54446	847	US	2000			
I took a lot of road trips.	And while he was hardly attentive, the one thing he did give me was experience. <i> I took a lot of road trips. </i> I grew up around men who swore, drank, and farted.	road trips	1	4744540	56	US	2012			
That's why I think you should turn, go back, and be a lawyer or something.	I'm telling you, you're coming along at a very dangerous time for rock' n' roll. <i> That's why I think you should turn, go back, and be a lawyer or something. </i> But I can tell from your face that you won't.	turn	1	54446	243	US	2000			
""""" Stop sleeping"""" is a negative."	""""" Wake up"""" is positive. <i> """" Stop sleeping"""" is a negative. </i> Either way, it's not my favorite part of the day."	either	1	3967329	48	US	2010			
They weren't the cheap seats.	I just didn't want you to have life in the cheap seats. <i> They weren't the cheap seats. </i> Spending every waking moment with my dad watching baseball... eating food that was no good for me.	cheap seats	1	4744540	1600	US	2012			
Pick me up and turn me round	Home is where I want to be <i> Pick me up and turn me round </i> I feel numb Born with a weak heart	pick me up	1	3967329	2303	US	2010			
You were always good at that.	Anyway, I need you around to talk to her. <i> You were always good at that. </i> I have a hard time with that, you know?	"t
around"	1	4744540	399	US	2012			
Come on, you stubborn mule.	Why don't you show me what you got? <i> Come on, you stubborn mule. </i> Give me something.	stubborn mule	2	4744540	860	US	2012	a person who is stubborn, obstinate or difficult to persuade or who does not respond to criticism.	https://greensdictofslang.com/entry/zkz6hfi	unyielding
Putting 50% leverage on toxic debt made them true.	No, Mr. Moore. <i> Putting 50% leverage on toxic debt made them true. </i> Look, Zabel once knew how to run money.	toxic debt	1	3967329	1028	US	2010			
I think you ought to start calling me Gordon.	A fisherman always sees another fisherman from afar. <i> I think you ought to start calling me Gordon. </i> Well, I promised you this,	fisherman	1	3967329	1111	US	2010			
That bus has been our home since we were the Jeff Bebe band.	Doris is the soul of this band. <i> That bus has been our home since we were the Jeff Bebe band. </i> No way.	home	1	54446	1265	US	2000			
- As a woman, I have a problem with that.	"- They refer to the women as"" chicks."" <i> - As a woman, I have a problem with that. </i> - You want' em to like you."	problem	1	54446	1724	US	2000			
I recently found out that I was her dream, too.	Until the past few months, to me, she was a dream unfulfilled. <i> I recently found out that I was her dream, too. </i> When we reconnected after such a long time, we instantly felt that nothing between us has changed with time.	dream	1	5905224	1384	US	2012			
I'm with you there, brother.	All the real big ones. <i> I'm with you there, brother. </i> All right.	with you	1	4744540	654	US	2012			
And in that moment, I lost my equilibrium.	I spoke to a neighbour and she talked about them as if they were the Joneses living next door all these years. <i> And in that moment, I lost my equilibrium. </i> And I fell, right there on the sidewalk.	joneses	1	3151540	1217	US	2007			
I mean, this one's totally knocked out.	Oh, well, you can speak freely. <i> I mean, this one's totally knocked out. </i> She's a thousand miles away.	knocked out	3	3151540	1462	US	2007	to be asleep, unconscious, or heavily intoxicated.	https://greensdictofslang.com/entry/hmmv7xq	unconscious
- He didn't take shit from nobody.	Handleman, Andrew Handleman. <i> - He didn't take shit from nobody. </i> - Oh, yeah.	shit	1	3151540	1881	US	2007			
When she was little, they said it was gonna go away but it never did.	Looked like a burn but it wasn't. <i> When she was little, they said it was gonna go away but it never did. </i> Jenny.	gonna	1	3151540	1670	US	2007			
You're holding out for something better.	Because I know you. <i> You're holding out for something better. </i> Well, don't.	holding out	2	3967329	409	US	2010	"to wait or hold back from doing something until a better opportunity or offer comes along.example sentence: ""i'm holding out for a higher salary before i accept the job offer."""		withholding
Look, Bretton is not an enemy a kid like you wants to have for life.	It'll get some play. <i> Look, Bretton is not an enemy a kid like you wants to have for life. </i> Just get out of this racket.	kid	1	3967329	1777	US	2010			
Yeah, no, you had him good.	- I had him, you know? <i> Yeah, no, you had him good. </i> You had him good.	had him good	1	4744540	719	US	2012			
Look, when I first signed you up, you were hitting great.	Yeah. <i> Look, when I first signed you up, you were hitting great. </i> You were the quickest bat alive.	bat	1	4744540	152	US	2012			
And she agreed to stake me when I got out.	When she was 18, I told her she would come into it all when she turned 25. <i> And she agreed to stake me when I got out. </i> Then Rudy died, and she reneged.	stake	1	3967329	1805	US	2010			
You can't get a better proof of trust than that check.	By the way, I think I'm really starting to like Alex. <i> You can't get a better proof of trust than that check. </i> Okay.	check	1	5905224	1157	US	2012			
We're supposed to make each other feel safe.	No. <i> We're supposed to make each other feel safe. </i> Otherwise, what's the point?	what the point	1	3967329	2036	US	2010			
I just thought that you weren't that into it.	You know when I asked you to suck my tits and stuff, <i> I just thought that you weren't that into it. </i> I only didn't suck your tits cos I've never done it before.	tits	1	3179568	1813	UK	2006			
So, last night was good fun, weren't it?	Woody. <i> So, last night was good fun, weren't it? </i> - Don't start.	weren't it	2	3179568	1038	UK	2006	wasn't it - a rhetorical question in this context		wasn't it
Oh, hang on, I forgot about summat.	Shut t'door behind you, there's a good lad. <i> Oh, hang on, I forgot about summat. </i> I were fucking lying!	summat	2	3179568	628	UK	2006	something		something
Look at t'moosh on him.	Eh! <i> Look at t'moosh on him. </i> - Smell his finger.	t'moosh	2	3179568	986	UK	2006	the mustache		mustache
You just keep it together, lad.	Let us worry about that, yeah? <i> You just keep it together, lad. </i> I am not going to be the fucking goat!	lad	2	3472293	1004	UK	2009	boy/male/man  term used in northern england		boy
Lucky the Ripper wrote that letter, eh?	Clare Strachan. <i> Lucky the Ripper wrote that letter, eh? </i> Otherwise Clare would have been just another unsolved.	eh	1	3472293	833	UK	2009			
They're not finished with me, mate.	Just go. <i> They're not finished with me, mate. </i> I've got a meeting with Angus in The Owl at two.	mate	3	3472293	1118	UK	2009			
We want you to head up a covert Home Office inquiry into the Ripper investigation.	Which is why we've asked you here today. <i> We want you to head up a covert Home Office inquiry into the Ripper investigation. </i> Why covert?	ripper	1	3472293	75	UK	2009			
